prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,ASG_CODE,MODE_ASG,new_list,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,5,0.00,80,10,1,1,0,0,0,,,1550820180214001,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214001,1,6,S:8AM-8PM,02,,,BREVARD,1121,167648,,1,1,,8,2,8,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214001
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,5,,80,10,1,0,0,0,0,,,1550820180214002,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214002,,6,S:8AM-8PM,02,,,BREVARD,1122,167648,,1,1,,8,2,8,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214002
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,18,89,12,9,75,1,3,1,1,3,0.00,3,3,1,3,3,0,0,,,1550820180214003,6,1,1,,,,,O,wd,1550820180214,1,,1550820180214003,1,6,S:8AM-8PM,02,3,1,,1136,,,1,1,,8,2,1,20MAR201809:39,1,,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214003
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,18,89,12,9,75,1,3,1,1,3,0.00,3,3,1,2,3,0,0,,,1550820180214004,6,1,1,,,,,O,wd,1550820180214,1,,1550820180214004,1,6,S:8AM-8PM,02,3,0,,1137,,,1,1,,8,2,1,20MAR201809:39,1,,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214004
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,56,39,12,9,75,1,3,1,1,3.5,0.00,999,99,1,1,0,0,0,,,1550820180214005,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214005,1,6,S:8AM-8PM,02,,,,1144,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214005
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,56,39,12,9,75,1,3,1,1,3.5,0.00,999,99,1,3,0,0,0,,,1550820180214006,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214006,1,6,S:8AM-8PM,02,,,,1145,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214006
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,99,998,12,9,75,1,3,1,1,3,0.00,150,58,1,1,0,0,0,,,1550820180214007,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214007,1,6,S:8AM-8PM,02,,,,1153,167648,,1,1,,8,2,8,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214007
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,97,12,9,75,1,3,1,1,6,0.00,20,0,1,0,1,0,0,,,1550820180214008,6,1,1,,,,,Y,wd,1550820180214,1,,1550820180214008,1,6,S:8AM-8PM,02,1,0,OSCEOLA,1201,167648,,1,1,,8,1,1,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214008
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,26,53,12,9,75,1,3,1,1,3.5,0.00,40,30,1,2,0,0,0,,,1550820180214009,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214009,1,6,S:8AM-8PM,02,,,,1220,167648,,1,1,,8,2,8,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214009
,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,99,998,12,9,75,1,3,1,1,3,0.00,60,59,1,1,0,0,0,,,1550820180214010,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214010,1,6,S:8AM-8PM,02,,,,1301,167648,,1,1,,8,2,8,20MAR201809:39,1,8835010105,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214010
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,3.5,0.00,30,30,1,2,0,0,0,,,1550820180214011,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214011,1,6,S:8AM-8PM,02,0,1,BREVARD,1323,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214011
,SPOTTED SEATROUT,2018021263wdS:8AM-8PM,2018112631550820180214,2018,5,42,29,12,9,75,1,3,1,1,6.5,0.00,4,2,1,4,0,0,0,,,1550820180214012,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214012,1,6,S:8AM-8PM,02,0,9,,1350,169239,,1,1,,8,2,8,20MAR201809:39,1,8835440102,,,,,,,,,,,97443.417222,2018021263wdS:8AM-8PM,,0,1550820180214012
RED DRUM,BLACK DRUM,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,61,12,9,75,1,3,1,1,3.5,0.00,50,8,1,1,0,0,0,,,1550820180214013,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214013,1,6,S:8AM-8PM,02,,,INDIAN RIVER,1425,169288,169290,1,1,,8,1,8,20MAR201809:39,1,8835440801,8835440901,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214013
RED DRUM,COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,3,0.00,50,8,1,1,0,0,0,,,1550820180214014,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214014,1,6,S:8AM-8PM,02,,,BREVARD,1457,167648,169290,1,1,,8,1,8,20MAR201809:39,1,8835010105,8835440901,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214014
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,7,12,81,12,9,75,1,3,1,1,5,0.00,4,2,1,4,0,0,0,,,1550820180214015,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214015,1,6,S:8AM-8PM,02,,,MANATEE,1505,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214015
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,7,12,81,12,9,75,1,3,1,1,5,0.00,4,2,1,1,0,0,0,,,1550820180214016,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214016,1,6,S:8AM-8PM,02,,,MANATEE,1506,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214016
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,1.5,0.00,15,3,1,2,0,0,0,,,1550820180214017,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214017,1,6,S:8AM-8PM,02,,,BREVARD,1512,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214017
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,1.5,0.00,15,3,1,1,0,0,0,,,1550820180214018,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214018,1,6,S:8AM-8PM,02,,,BREVARD,1513,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214018
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,1.5,,15,3,1,0,0,0,0,,,1550820180214019,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214019,,6,S:8AM-8PM,02,,,BREVARD,1514,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214019
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,2.5,0.00,30,10,1,2,0,0,0,,,1550820180214020,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214020,1,6,S:8AM-8PM,02,,,BREVARD,1520,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214020
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,2.5,0.00,30,10,1,1,0,0,0,,,1550820180214021,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214021,1,6,S:8AM-8PM,02,,,BREVARD,1521,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214021
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,2.5,,30,10,1,0,0,0,0,,,1550820180214022,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214022,,6,S:8AM-8PM,02,,,BREVARD,1522,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214022
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,97,12,9,75,1,3,1,1,3.5,0.00,25,4,1,2,0,0,0,,,1550820180214023,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214023,1,6,S:8AM-8PM,02,,,OSCEOLA,1537,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214023
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,97,12,9,75,1,3,1,1,3.5,0.00,25,4,1,2,0,0,0,,,1550820180214024,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214024,1,6,S:8AM-8PM,02,,,OSCEOLA,1538,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214024
,BLACK DRUM,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,2,,100,20,1,0,0,0,0,,,1550820180214025,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214025,,6,S:8AM-8PM,02,,,BREVARD,1546,169288,,1,1,,8,2,8,20MAR201809:39,1,8835440801,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214025
,,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,99,998,12,9,75,1,3,1,1,9,0.00,56,24,1,0,2,0,0,,,1550820180214026,6,1,1,,,,,O,wd,1550820180214,1,,1550820180214026,1,6,S:8AM-8PM,02,2,0,,1618,,,1,1,,8,2,1,20MAR201809:39,1,,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214026
,SHEEPSHEAD,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,55,131,12,9,75,1,3,1,1,3.5,0.00,5,3,1,1,0,0,0,,,1550820180214027,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214027,1,6,S:8AM-8PM,02,0,1,,1631,169189,,1,1,,8,2,8,20MAR201809:39,1,8835430301,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214027
,SHEEPSHEAD,2018021263wdS:8AM-8PM,2018112631550820180214,2018,0,55,131,12,9,75,1,3,1,1,3.5,0.00,5,3,1,2,0,0,0,,,1550820180214028,6,1,2,,,,,O,wd,1550820180214,1,,1550820180214028,1,6,S:8AM-8PM,02,0,1,,1632,169189,,1,1,,8,2,8,20MAR201809:39,1,8835430301,,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214028
COMMON SNOOK,BLACK DRUM,2018021263wdS:8AM-8PM,2018112631550820180214,2018,6,12,9,12,9,75,1,3,1,1,4,,8,4,1,0,0,0,0,,,1550820180214029,6,1,2,,,,,Y,wd,1550820180214,1,,1550820180214029,,6,S:8AM-8PM,02,,,BREVARD,1651,169288,167648,1,1,,8,1,8,20MAR201809:39,1,8835440801,8835010105,,,,,,,,,,96433.640878,2018021263wdS:8AM-8PM,,0,1550820180214029
,,2018011253weS:8AM-8PM,2018112531562720180112,2018,6,12,99,12,99,85,1,3,1,1,4,0.00,25,3,1,1,1,0,0,,,1562720180112001,6,1,1,,,,,Y,we,1562720180112,1,,1562720180112001,1,5,S:8AM-8PM,01,1,0,PALM BEACH,1146,,,1,1,,8,2,1,15FEB201809:49,1,,,,,,,,,,,,20240.953667,2018011253weS:8AM-8PM,,0,1562720180112001
,BLUEFISH,2018011253weS:8AM-8PM,2018112531562720180112,2018,6,12,99,12,99,85,1,3,1,1,3,0.00,100,15,1,1,1,0,0,,,1562720180112002,6,1,1,,,,,Y,we,1562720180112,1,,1562720180112002,1,5,S:8AM-8PM,01,1,0,PALM BEACH,1213,168559,,1,1,,8,2,1,15FEB201809:49,1,8835250101,,,,,,,,,,,20240.953667,2018011253weS:8AM-8PM,,0,1562720180112002
,BLUEFISH,2018011253weS:8AM-8PM,2018112531562720180112,2018,6,12,99,12,99,85,1,3,1,1,2,0.00,50,6,1,0,1,0,0,,,1562720180112003,6,1,1,,,,,Y,we,1562720180112,1,,1562720180112003,1,5,S:8AM-8PM,01,1,0,PALM BEACH,1325,168559,,1,1,,8,2,1,15FEB201809:49,1,8835250101,,,,,,,,,,,20240.953667,2018011253weS:8AM-8PM,,0,1562720180112003
,,2018011253weS:8AM-8PM,2018112531562720180112,2018,6,12,99,12,99,85,1,3,1,1,2.5,0.00,50,7,1,0,1,0,0,,,1562720180112004,6,1,1,,,,,Y,we,1562720180112,1,,1562720180112004,1,5,S:8AM-8PM,01,1,0,PALM BEACH,1506,,,1,1,,8,2,1,15FEB201809:49,1,,,,,,,,,,,,23511.68759,2018011253weS:8AM-8PM,,0,1562720180112004
,,2018011253weS:8AM-8PM,2018112531562720180112,2018,6,12,99,12,99,85,1,3,1,1,2.5,,52,7,1,0,0,0,0,,,1562720180112005,6,1,2,,,,,Y,we,1562720180112,1,,1562720180112005,,5,S:8AM-8PM,01,,,PALM BEACH,1507,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,23511.68759,2018011253weS:8AM-8PM,,0,1562720180112005
KING MACKEREL,SPANISH MACKEREL,2018011253weS:8AM-8PM,2018112531562720180119,2018,4,9,1,12,99,85,1,3,1,1,3,0.00,60,30,1,1,0,0,0,,,1562720180119001,6,1,2,,,,,O,we,1562720180119,1,,1562720180119001,1,5,S:8AM-8PM,01,,,FAIRFIELD,1041,172436,172435,1,1,,8,1,8,15FEB201809:49,1,8850030502,8850030501,,,,,,,,,,36922.761012,2018011253weS:8AM-8PM,,0,1562720180119001
,FLORIDA POMPANO,2018011253weS:8AM-8PM,2018112531562720180119,2018,5,34,29,12,99,85,1,3,1,1,2.5,0.00,2,2,1,1,0,0,0,,,1562720180119002,6,1,2,,,,,O,we,1562720180119,1,,1562720180119002,1,5,S:8AM-8PM,01,,,OCEAN,1103,168708,,1,1,,8,1,8,15FEB201809:49,1,8835280901,,,,,,,,,,,9277.4497589,2018011253weS:8AM-8PM,,0,1562720180119002
SPANISH MACKEREL,BLUEFISH,2018011253weS:8AM-8PM,2018112531562720180119,2018,6,12,99,12,99,85,1,3,1,1,3.5,0.00,150,20,1,1,0,0,0,,,1562720180119003,6,1,2,,,,,Y,we,1562720180119,1,,1562720180119003,1,5,S:8AM-8PM,01,0,1,PALM BEACH,1215,168559,172436,1,1,,8,2,8,15FEB201809:49,1,8835250101,8850030502,,,,,,,,,,9277.4497589,2018011253weS:8AM-8PM,,0,1562720180119003
SPANISH MACKEREL,BLUEFISH,2018011253weS:8AM-8PM,2018112531562720180119,2018,6,12,99,12,99,85,1,3,1,1,3.5,,100,15,1,0,0,0,0,,,1562720180119004,6,1,2,,,,,Y,we,1562720180119,1,,1562720180119004,,5,S:8AM-8PM,01,,,PALM BEACH,1216,168559,172436,1,1,,8,2,8,15FEB201809:49,1,8835250101,8850030502,,,,,,,,,,9277.4497589,2018011253weS:8AM-8PM,,0,1562720180119004
SPANISH MACKEREL,BLUEFISH,2018011253weS:8AM-8PM,2018112531562720180119,2018,6,12,99,12,99,85,1,3,1,1,3.5,,100,15,1,0,0,0,0,,,1562720180119005,6,1,2,,,,,Y,we,1562720180119,1,,1562720180119005,,5,S:8AM-8PM,01,,,PALM BEACH,1217,168559,172436,1,1,,8,2,8,15FEB201809:49,1,8835250101,8850030502,,,,,,,,,,9277.4497589,2018011253weS:8AM-8PM,,0,1562720180119005
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,5,36,47,12,11,106,1,3,1,1,5.5,0.00,1,1,1,2,0,0,0,,,1562720180202001,6,1,2,,,,,O,we,1562720180202,1,,1562720180202001,1,5,S:8AM-8PM,02,,,KINGS,1139,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,9138.0673842,2018021253weS:8AM-8PM,,0,1562720180202001
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,5.5,0.00,1,1,1,1,0,0,0,,,1562720180202002,6,1,2,,,,,O,we,1562720180202,1,,1562720180202002,1,5,S:8AM-8PM,02,,,,1140,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,9138.0673842,2018021253weS:8AM-8PM,,0,1562720180202002
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,6,0.00,0,0,1,2,2,0,0,,,1562720180202003,6,1,1,,,,,O,we,1562720180202,1,,1562720180202003,1,5,S:8AM-8PM,02,3,0,,1251,,,1,1,,8,1,1,20MAR201809:39,1,,,,,,,,,,,,9138.0673842,2018021253weS:8AM-8PM,,0,1562720180202003
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,6,12,11,12,11,106,1,3,1,1,2.5,0.00,50,7,1,2,0,0,0,,,1562720180202004,6,1,2,,,,,Y,we,1562720180202,1,,1562720180202004,1,5,S:8AM-8PM,02,,,BROWARD,1522,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202004
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,6,12,11,12,11,106,1,3,1,1,2.5,0.00,50,7,1,1,0,0,0,,,1562720180202005,6,1,2,,,,,Y,we,1562720180202,1,,1562720180202005,1,5,S:8AM-8PM,02,,,BROWARD,1523,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202005
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,3,0.00,0,0,1,1,0,0,0,,,1562720180202006,6,1,2,,,,,O,we,1562720180202,1,,1562720180202006,1,5,S:8AM-8PM,02,,,,1615,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202006
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,3,,0,0,1,0,0,0,0,,,1562720180202007,6,1,2,,,,,O,we,1562720180202,1,,1562720180202007,,5,S:8AM-8PM,02,,,,1616,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202007
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,3,,0,0,1,0,0,0,0,,,1562720180202008,6,1,2,,,,,O,we,1562720180202,1,,1562720180202008,,5,S:8AM-8PM,02,,,,1617,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202008
,,2018021253weS:8AM-8PM,2018112531562720180202,2018,0,99,998,12,11,106,1,3,1,1,3,0.00,0,0,1,1,0,0,0,,,1562720180202009,6,1,2,,,,,O,we,1562720180202,1,,1562720180202009,1,5,S:8AM-8PM,02,,,,1618,,,1,1,,8,1,8,20MAR201809:39,1,,,,,,,,,,,,4252.0425277,2018021253weS:8AM-8PM,,0,1562720180202009
,,2018021273wdS:8AM-8PM,2018112731577420180220,2018,5,34,19,12,127,175,2,3,1,1,6,0.00,10,10,1,2,0,0,0,,,1577420180220002,6,1,2,,,,,O,wd,1577420180220,1,,1577420180220002,1,7,S:8AM-8PM,02,0,4,,1247,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,197007.36477,2018021273wdS:8AM-8PM,,0,1577420180220002
,,2018021273wdS:8AM-8PM,2018112731577420180220,2018,0,99,998,12,127,175,2,3,1,1,3,,30,30,1,0,0,0,0,,,1577420180220003,6,1,2,,,,,O,wd,1577420180220,1,,1577420180220003,,7,S:8AM-8PM,02,,,,1252,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,197007.36477,2018021273wdS:8AM-8PM,,0,1577420180220003
,,2018021273wdS:8AM-8PM,2018112731577420180220,2018,6,12,127,12,127,175,2,3,1,1,2,,10,10,1,0,0,0,0,,,1577420180220004,6,1,2,,,,,Y,wd,1577420180220,1,,1577420180220004,,7,S:8AM-8PM,02,,,VOLUSIA,1329,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,197007.36477,2018021273wdS:8AM-8PM,,0,1577420180220004
,,2018021273wdS:8AM-8PM,2018112731577420180220,2018,5,36,71,12,127,175,2,3,1,1,2,,5,5,1,0,0,0,0,,,1577420180220005,6,1,2,,,,,O,wd,1577420180220,1,,1577420180220005,,7,S:8AM-8PM,02,,,,1330,,,1,1,,8,2,8,20MAR201809:39,1,,,,,,,,,,,,197007.36477,2018021273wdS:8AM-8PM,,0,1577420180220005
