prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,new_list,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181117,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,40,12,1,1,0,0,0,,,1764520181117002,4,6,2,,,,,Y,we,,1764520181117,3,1764520181117002,2,1,S:8AM-8PM,11,,,FAIRFIELD,1233,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,49,,2,,,389.22695849,201811913weS:8AM-8PM,,0,1764520181117002
,,201811913weS:8AM-8PM,201869131764520181117,2018,4,9,9,9,1,4334,5,3,3,5,3,0.00,8,3,1,1,0,0,0,,,1764520181117003,4,6,2,,,,,Y,we,,1764520181117,3,1764520181117003,2,1,S:8AM-8PM,11,,,NEW HAVEN,1325,,,,1,,8,2,8,17JAN19:08:35,8,,,5,,1,,57,,2,,,389.22695849,201811913weS:8AM-8PM,,0,1764520181117003
,,201811913weS:8AM-8PM,201869131764520181118,2018,4,9,9,9,9,251,1,3,C,5,4,,15,10,1,0,0,0,0,,,1764520181118001,4,6,2,,,,,Y,we,,1764520181118,1,1764520181118001,,1,S:8AM-8PM,11,,,NEW HAVEN,1119,,,,1,,8,2,8,17JAN19:08:35,8,,,0,,1,,65,,2,,,378.07766237,201811913weS:8AM-8PM,,0,1764520181118001
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181130,2018,4,9,1,9,1,4334,5,3,3,5,2,0.00,40,30,1,1,0,0,0,,,1764520181130003,4,6,2,,,,,Y,we,,1764520181130,3,1764520181130003,2,1,S:8AM-8PM,11,,,FAIRFIELD,1436,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,67,,2,,,368.93754381,201811913weS:8AM-8PM,,0,1764520181130003
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181130,2018,4,9,9,9,1,4334,5,3,3,5,4,0.00,200,50,1,1,0,0,0,,,1764520181130004,4,6,2,,,,,Y,we,,1764520181130,3,1764520181130004,2,1,S:8AM-8PM,11,,,NEW HAVEN,1441,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,42,,2,,,368.93754381,201811913weS:8AM-8PM,,0,1764520181130004
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181130,2018,4,9,9,9,1,4334,5,3,3,5,3,0.00,20,6,1,1,0,0,0,,,1764520181130005,4,6,2,,,,,Y,we,,1764520181130,3,1764520181130005,2,1,S:8AM-8PM,11,,,NEW HAVEN,1449,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,78,,2,,,368.93754381,201811913weS:8AM-8PM,,0,1764520181130005
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181130,2018,4,9,9,9,1,4334,5,3,3,5,2,0.00,75,10,1,1,0,0,0,,,1764520181130008,4,6,2,,,,,Y,we,,1764520181130,3,1764520181130008,2,1,S:8AM-8PM,11,,,NEW HAVEN,1500,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,57,,2,,,368.93754381,201811913weS:8AM-8PM,,0,1764520181130008
,,201811913weS:8AM-8PM,201869131764520181130,2018,4,9,1,9,1,4334,5,3,3,5,2,0.00,998,60,1,1,0,0,0,,,1764520181130011,4,6,2,,,,,Y,we,,1764520181130,3,1764520181130011,2,1,S:8AM-8PM,11,,,FAIRFIELD,1605,,,,1,,8,2,8,17JAN19:08:35,8,,,5,,1,,59,,2,,,368.93754381,201811913weS:8AM-8PM,,0,1764520181130011
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,1.5,0.00,215,40,1,0,0,0,0,,,1764520181201001,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201001,,1,S:8AM-8PM,12,,,NEW HAVEN,1122,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,40,,2,,,316.73125838,201812913weS:8AM-8PM,,0,1764520181201001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,1,0.00,300,30,1,0,0,0,0,,,1764520181201008,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201008,,1,S:8AM-8PM,12,,,NEW HAVEN,1244,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,57,,2,,,316.73125838,201812913weS:8AM-8PM,,0,1764520181201008
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,300,15,1,0,0,0,0,,,1764520181201009,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201009,,1,S:8AM-8PM,12,,,FAIRFIELD,1245,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,59,,2,,,316.73125838,201812913weS:8AM-8PM,,0,1764520181201009
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,2,0.00,60,8,1,0,0,0,0,,,1764520181201010,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201010,,1,S:8AM-8PM,12,,,NEW HAVEN,1250,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,63,,2,,,316.73125838,201812913weS:8AM-8PM,,0,1764520181201010
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,3,0.00,120,25,1,0,0,0,0,,,1764520181201013,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201013,,1,S:8AM-8PM,12,,,NEW HAVEN,1330,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,80,,2,,,316.73125838,201812913weS:8AM-8PM,,0,1764520181201013
,,201812913weS:8AM-8PM,201869131764520181201,2018,4,25,13,9,1,4334,5,3,3,5,6,0.00,20,1,1,0,0,0,0,,,1764520181201019,4,6,2,,,,,O,we,,1764520181201,3,1764520181201019,,1,S:8AM-8PM,12,,,,1508,,,,1,,8,2,8,17JAN19:08:35,8,,,5,,1,,23,,2,,,519.25488891,201812913weS:8AM-8PM,,0,1764520181201019
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,0.5,0.00,36,7,1,0,0,0,0,,,1764520181201020,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201020,,1,S:8AM-8PM,12,,,NEW HAVEN,1517,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,49,,2,,,519.25488891,201812913weS:8AM-8PM,,0,1764520181201020
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,0.5,0.00,180,10,1,0,0,0,0,,,1764520181201023,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201023,,1,S:8AM-8PM,12,,,NEW HAVEN,1537,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,22,,2,,,519.25488891,201812913weS:8AM-8PM,,0,1764520181201023
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,2,0.00,1,1,1,1,0,0,0,,,1764520181201024,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201024,2,1,S:8AM-8PM,12,,,NEW HAVEN,1556,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,59,,2,,,519.25488891,201812913weS:8AM-8PM,,0,1764520181201024
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181201,2018,4,9,9,9,1,4334,5,3,3,5,4,0.00,0,0,1,1,0,0,0,,,1764520181201025,4,6,2,,,,,Y,we,,1764520181201,3,1764520181201025,2,1,S:8AM-8PM,12,,,NEW HAVEN,1557,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,57,,2,,,519.25488891,201812913weS:8AM-8PM,,0,1764520181201025
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181202,2018,4,25,15,9,1,4334,5,3,3,5,0.5,4.00,65,12,1,0,0,0,0,,,1764520181202001,4,6,2,,,,,O,we,,1764520181202,3,1764520181202001,,1,S:8AM-8PM,12,,,,1705,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,46,,2,,,1675.2850372,201812913weS:8AM-8PM,,0,1764520181202001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181202,2018,4,25,15,9,1,4334,5,3,3,5,0.5,4.00,65,12,1,0,0,0,0,,,1764520181202002,4,6,2,,,,,O,we,,1764520181202,3,1764520181202002,,1,S:8AM-8PM,12,,,,1706,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,12,,2,,,1675.2850372,201812913weS:8AM-8PM,,0,1764520181202002
,STRIPED BASS,201812913wdS:8AM-8PM,201869131764520181212,2018,4,9,9,9,1,4334,5,3,3,5,1,0.00,50,6,1,0,0,0,0,,,1764520181212005,4,6,2,,,,,Y,wd,,1764520181212,3,1764520181212005,,1,S:8AM-8PM,12,,,NEW HAVEN,1544,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,60,,2,,,754.6871439,201812913wdS:8AM-8PM,,0,1764520181212005
,STRIPED BASS,201812913wdS:8AM-8PM,201869131764520181212,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,998,20,1,0,0,0,0,,,1764520181212006,4,6,2,,,,,Y,wd,,1764520181212,3,1764520181212006,,1,S:8AM-8PM,12,,,FAIRFIELD,1613,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,23,,2,,,754.6871439,201812913wdS:8AM-8PM,,0,1764520181212006
,STRIPED BASS,201812913wdS:8AM-8PM,201869131764520181212,2018,4,9,1,9,1,4334,5,3,3,5,3,0.00,70,60,1,1,1,0,0,,,1764520181212007,4,6,1,,,,,Y,wd,,1764520181212,3,1764520181212007,2,1,S:8AM-8PM,12,1,0,FAIRFIELD,1810,167680,,,1,,8,2,1,17JAN19:08:35,8,8835020102,,5,,1,,62,,2,,,1898.9723577,201812913wdS:8AM-8PM,,0,1764520181212007
,STRIPED BASS,201812913wdS:8AM-8PM,201869131764520181212,2018,4,9,1,9,1,4334,5,3,3,5,3,0.00,60,50,1,1,1,0,0,,,1764520181212008,4,6,1,,,,,Y,wd,,1764520181212,3,1764520181212008,2,1,S:8AM-8PM,12,1,0,FAIRFIELD,1840,167680,,,1,,8,2,1,17JAN19:08:35,8,8835020102,,5,,1,,64,,2,,,1898.9723577,201812913wdS:8AM-8PM,,0,1764520181212008
,STRIPED BASS,201812913wdS:8AM-8PM,201869131764520181212,2018,4,9,1,9,1,4334,5,3,3,5,2.5,0.00,50,40,1,1,0,0,0,,,1764520181212009,4,6,2,,,,,Y,wd,,1764520181212,3,1764520181212009,2,1,S:8AM-8PM,12,,,FAIRFIELD,1930,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,66,,2,,,1898.9723577,201812913wdS:8AM-8PM,,0,1764520181212009
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,9,9,1,4334,5,3,3,5,1,0.00,300,10,1,1,0,0,0,,,1764520181214001,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214001,2,1,S:8AM-8PM,12,,,NEW HAVEN,1137,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,80,20,1,0,0,0,0,,,1764520181214002,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214002,,1,S:8AM-8PM,12,,,FAIRFIELD,1152,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,52,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214002
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,80,15,1,0,0,0,0,,,1764520181214003,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214003,,1,S:8AM-8PM,12,,,FAIRFIELD,1153,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,69,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214003
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,13,9,1,4334,5,3,3,5,2.5,0.00,20,1,1,1,0,0,0,,,1764520181214004,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214004,2,1,S:8AM-8PM,12,,,TOLLAND,1215,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214004
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,9,9,1,4334,5,3,3,5,2,0.00,0,0,1,1,0,0,0,,,1764520181214006,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214006,2,1,S:8AM-8PM,12,,,NEW HAVEN,1233,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,57,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214006
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,1,9,1,4334,5,3,3,5,2.5,0.00,100,20,1,1,0,0,0,,,1764520181214007,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214007,2,1,S:8AM-8PM,12,,,FAIRFIELD,1234,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,58,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214007
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,5,36,5,9,1,4334,5,3,3,5,2.5,0.00,0,0,1,1,0,0,0,,,1764520181214010,4,6,2,,,,,O,we,,1764520181214,3,1764520181214010,2,1,S:8AM-8PM,12,,,BRONX,1305,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,31,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214010
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181214,2018,4,9,1,9,1,4334,5,3,3,5,2,0.00,150,20,1,1,0,0,0,,,1764520181214011,4,6,2,,,,,Y,we,,1764520181214,3,1764520181214011,2,1,S:8AM-8PM,12,,,FAIRFIELD,1323,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,35,,2,,,311.19152555,201812913weS:8AM-8PM,,0,1764520181214011
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,25,0,1,0,0,0,0,,,1764520181215001,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215001,,1,S:8AM-8PM,12,,,NEW HAVEN,1131,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,33,,2,,,423.2688029,201812913weS:8AM-8PM,,0,1764520181215001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,40,0,1,0,0,0,0,,,1764520181215004,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215004,,1,S:8AM-8PM,12,,,NEW HAVEN,1304,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,19,,2,,,423.2688029,201812913weS:8AM-8PM,,0,1764520181215004
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,2,0.00,200,0,1,0,0,0,0,,,1764520181215005,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215005,,1,S:8AM-8PM,12,,,NEW HAVEN,1312,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,54,,2,,,423.2688029,201812913weS:8AM-8PM,,0,1764520181215005
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,3,9,9,4336,5,3,3,5,1,0.00,125,15,1,0,0,0,0,,,1764520181215008,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215008,,1,S:8AM-8PM,12,,,HARTFORD,1422,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,39,,2,,,867.08088195,201812913weS:8AM-8PM,,0,1764520181215008
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,6,0,1,0,0,0,0,,,1764520181215009,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215009,,1,S:8AM-8PM,12,,,NEW HAVEN,1517,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,38,,2,,,867.08088195,201812913weS:8AM-8PM,,0,1764520181215009
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,2,0,1,0,0,0,0,,,1764520181215010,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215010,,1,S:8AM-8PM,12,,,NEW HAVEN,1518,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,,,2,,,867.08088195,201812913weS:8AM-8PM,,0,1764520181215010
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,0,0,1,0,0,0,0,,,1764520181215011,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215011,,1,S:8AM-8PM,12,,,NEW HAVEN,1519,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,8,,2,,,867.08088195,201812913weS:8AM-8PM,,0,1764520181215011
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181215,2018,4,9,3,9,9,4336,5,3,3,5,1.5,0.00,15,0,1,0,0,0,0,,,1764520181215012,4,6,2,,,,,Y,we,,1764520181215,3,1764520181215012,,1,S:8AM-8PM,12,,,HARTFORD,1530,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,22,,2,,,867.08088195,201812913weS:8AM-8PM,,0,1764520181215012
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181228,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,300,50,1,1,0,0,0,,,1764520181228001,4,6,2,,,,,Y,we,,1764520181228,3,1764520181228001,2,1,S:8AM-8PM,12,,,FAIRFIELD,1125,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,59,,2,,,415.76744237,201812913weS:8AM-8PM,,0,1764520181228001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181228,2018,4,9,3,9,1,4334,5,3,3,5,3,0.00,10,0,1,0,0,0,0,,,1764520181228002,4,6,2,,,,,Y,we,,1764520181228,3,1764520181228002,,1,S:8AM-8PM,12,,,HARTFORD,1220,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,33,,2,,,415.76744237,201812913weS:8AM-8PM,,0,1764520181228002
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181228,2018,4,9,9,9,1,4334,5,3,3,5,3,0.00,10,8,1,0,0,0,0,,,1764520181228003,4,6,2,,,,,Y,we,,1764520181228,3,1764520181228003,,1,S:8AM-8PM,12,,,NEW HAVEN,1221,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,33,,2,,,415.76744237,201812913weS:8AM-8PM,,0,1764520181228003
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181229,2018,4,9,9,9,9,4336,5,3,3,5,1,0.00,3,0,1,0,0,0,0,,,1764520181229005,4,6,2,,,,,Y,we,,1764520181229,3,1764520181229005,,1,S:8AM-8PM,12,,,NEW HAVEN,1539,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,48,,2,,,674.52940479,201812913weS:8AM-8PM,,0,1764520181229005
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181230,2018,4,9,9,9,9,4336,5,3,3,5,2,0.00,30,4,1,0,0,0,0,,,1764520181230001,4,6,2,,,,,Y,we,,1764520181230,3,1764520181230001,,1,S:8AM-8PM,12,,,NEW HAVEN,833,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,2,,38,,2,,,468.04330879,201812913weS:8AM-8PM,,0,1764520181230001
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181230,2018,4,9,9,9,9,4336,5,3,3,5,2,0.00,30,10,1,1,0,0,0,,,1764520181230002,4,6,2,,,,,Y,we,,1764520181230,3,1764520181230002,2,1,S:8AM-8PM,12,,,NEW HAVEN,834,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,42,,2,,,468.04330879,201812913weS:8AM-8PM,,0,1764520181230002
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181230,2018,4,9,1,9,9,4336,5,3,3,5,1,0.00,300,20,1,0,0,0,0,,,1764520181230003,4,6,2,,,,,Y,we,,1764520181230,3,1764520181230003,,1,S:8AM-8PM,12,,,FAIRFIELD,910,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,53,,2,,,468.04330879,201812913weS:8AM-8PM,,0,1764520181230003
,STRIPED BASS,201812913weS:8AM-8PM,201869131764520181230,2018,4,9,1,9,9,4336,5,3,3,5,1,0.00,300,20,1,0,0,0,0,,,1764520181230004,4,6,2,,,,,Y,we,,1764520181230,3,1764520181230004,,1,S:8AM-8PM,12,,,FAIRFIELD,911,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,39,,2,,,468.04330879,201812913weS:8AM-8PM,,0,1764520181230004
